135, -747.9707140722312
136, -697.1135310316458
137, -626.1056068618782
138, -539.6300413380377
139, -442.3699342366308
140, -339.0083853341639
141, -234.22849440574646
142, -132.71336122835055
143, -39.14608557661995
144, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 0
151, 0
152, 0
153, 19.408136868849397
154, 71.51385027728975
155, 139.80808660713956
156, 220.32698805537075
157, 309.1066968208179
158, 402.1833551018499
159, 495.5931050940417
160, 585.3720889985561
161, 667.5564490100369
162, 738.1823273268528
163, 793.2858661483042
164, 828.9032076704316
165, 841.0704940906726
